store_name,date,big_promotion,small_promotion,propose_promotion,sales_promotion,anniversary_promotion,first_day_anniversary_promotion,first_segment_anniversary,middle_segment_anniversary,last_segment_anniversary
南紡購物中心,08/10/2023,,,True,,,,,,
南紡購物中心,08/11/2023,,,True,,,,,,
南紡購物中心,08/12/2023,,,True,,,,,,
南紡購物中心,08/13/2023,,,True,,,,,,
南紡購物中心,08/14/2023,,,True,,,,,,
南紡購物中心,08/15/2023,,,True,,,,,,
南紡購物中心,08/16/2023,,,True,,,,,,
南紡購物中心,08/17/2023,,,True,,,,,,
南紡購物中心,08/18/2023,,,True,,,,,,
南紡購物中心,08/19/2023,,,True,,,,,,
南紡購物中心,08/20/2023,,,True,,,,,,
南紡購物中心,08/21/2023,,,True,,,,,,
南紡購物中心,08/22/2023,,,True,,,,,,
南紡購物中心,08/23/2023,,,True,,,,,,
南紡購物中心,08/24/2023,,,True,,,,,,
南紡購物中心,08/25/2023,,,True,,,,,,
南紡購物中心,08/26/2023,,,True,,,,,,
南紡購物中心,08/27/2023,,,True,,,,,,
南紡購物中心,08/28/2023,,,True,,,,,,
南紡購物中心,08/29/2023,,,True,,,,,,
南紡購物中心,08/30/2023,,,True,,,,,,
南紡購物中心,08/31/2023,,,True,,,,,,
南紡購物中心,09/01/2023,,,True,,,,,,
南紡購物中心,09/02/2023,,,True,,,,,,
南紡購物中心,09/03/2023,,,True,,,,,,
南紡購物中心,09/04/2023,,,True,,,,,,
南紡購物中心,09/05/2023,,,True,,,,,,
南紡購物中心,09/06/2023,,,True,,,,,,
南紡購物中心,10/19/2023,,,,,True,True,True,,
南紡購物中心,10/20/2023,,,,,True,,True,,
南紡購物中心,10/21/2023,,,,,True,,True,,
南紡購物中心,10/22/2023,,,,,True,,True,,
南紡購物中心,10/23/2023,,,,,True,,True,,
南紡購物中心,10/24/2023,,,,,True,,True,,
南紡購物中心,10/25/2023,,,,,True,,True,,
南紡購物中心,10/26/2023,,,,,True,,,True,
南紡購物中心,10/27/2023,,,,,True,,,True,
南紡購物中心,10/28/2023,,,,,True,,,True,
南紡購物中心,10/29/2023,,,,,True,,,True,
南紡購物中心,10/30/2023,,,,,True,,,True,
